,Open,High,Low,Close,Adj Close,Volume
2022-04-23 04:00:00+00:00,39485.234375,39558.328125,39352.203125,39536.0859375,39536.0859375,0
2022-04-23 05:00:00+00:00,39541.015625,39609.38671875,39536.6015625,39580.56640625,39580.56640625,0
2022-04-23 06:00:00+00:00,39581.14453125,39656.00390625,39572.0859375,39612.14453125,39612.14453125,0
2022-04-23 07:00:00+00:00,39612.5234375,39640.1328125,39586.51953125,39595.07421875,39595.07421875,0
2022-04-23 08:00:00+00:00,39600.54296875,39680.66015625,39571.7109375,39642.2578125,39642.2578125,0
2022-04-23 09:00:00+00:00,39643.84375,39652.3046875,39532.80078125,39540.76171875,39540.76171875,0
2022-04-23 10:00:00+00:00,39542.38671875,39640.44921875,39542.38671875,39623.5703125,39623.5703125,0
2022-04-23 11:00:00+00:00,39625.96484375,39672.3046875,39620.515625,39630.01953125,39630.01953125,0
2022-04-23 12:00:00+00:00,39637.109375,39750.2109375,39571.859375,39712.42578125,39712.42578125,0
2022-04-23 13:00:00+00:00,39707.23046875,39769.34375,39681.43359375,39710.23828125,39710.23828125,0
2022-04-23 14:00:00+00:00,39710.2890625,39754.921875,39668.1953125,39695.984375,39695.984375,0
2022-04-23 15:00:00+00:00,39700.234375,39802.66015625,39695.1796875,39799.02734375,39799.02734375,0
2022-04-23 16:00:00+00:00,39797.78125,39935.859375,39764.4453125,39891.19140625,39891.19140625,0
2022-04-23 17:00:00+00:00,39883.1875,39883.1875,39746.32421875,39816.859375,39816.859375,0
2022-04-23 18:00:00+00:00,39815.0859375,39840.32421875,39697.01953125,39697.01953125,39697.01953125,0
2022-04-23 19:00:00+00:00,39693.578125,39764.70703125,39690.6640625,39764.70703125,39764.70703125,0
2022-04-23 20:00:00+00:00,39764.390625,39816.16015625,39764.390625,39803.3359375,39803.3359375,0
2022-04-23 21:00:00+00:00,39801.7109375,39896.39453125,39801.7109375,39888.4375,39888.4375,0
2022-04-23 22:00:00+00:00,39891.546875,39924.83203125,39844.0078125,39844.0078125,39844.0078125,0
2022-04-23 23:00:00+00:00,39842.23828125,39842.23828125,39489.46484375,39489.46484375,39489.46484375,349188096
2022-04-24 00:00:00+00:00,39478.375,39638.4609375,39466.45703125,39599.90234375,39599.90234375,45257728
2022-04-24 01:00:00+00:00,39596.87890625,39641.00390625,39522.59765625,39525.66796875,39525.66796875,19900416
2022-04-24 02:00:00+00:00,39524.8671875,39616.05078125,39502.3046875,39577.94140625,39577.94140625,15477760
2022-04-24 03:00:00+00:00,39578.19921875,39805.05078125,39567.6953125,39771.234375,39771.234375,297774080
2022-04-24 04:00:00+00:00,39772.35546875,39802.10546875,39710.421875,39727.33203125,39727.33203125,0
2022-04-24 05:00:00+00:00,39729.66796875,39729.8828125,39688.390625,39692.6015625,39692.6015625,0
2022-04-24 06:00:00+00:00,39692.609375,39784.9765625,39687.3671875,39749.2734375,39749.2734375,99773440
2022-04-24 07:00:00+00:00,39748.9296875,39789.4140625,39746.703125,39760.04296875,39760.04296875,0
2022-04-24 08:00:00+00:00,39760.796875,39799.890625,39750.890625,39760.95703125,39760.95703125,0
2022-04-24 09:00:00+00:00,39757.67578125,39781.8359375,39710.35546875,39772.81640625,39772.81640625,0
2022-04-24 10:00:00+00:00,39771.09375,39791.171875,39675.953125,39699.96875,39699.96875,0
2022-04-24 11:00:00+00:00,39704.07421875,39723.79296875,39607.52734375,39619.671875,39619.671875,125878272
2022-04-24 12:00:00+00:00,39621.1328125,39664.453125,39582.7890625,39584.09375,39584.09375,0
2022-04-24 13:00:00+00:00,39587.1875,39595.7421875,39422.26171875,39569.85546875,39569.85546875,353816576
2022-04-24 14:00:00+00:00,39573.5390625,39845.92578125,39435.3125,39828.6328125,39828.6328125,668281856
2022-04-24 15:00:00+00:00,39816.1796875,39816.1796875,39665.5,39670.94140625,39670.94140625,126396416
2022-04-24 16:00:00+00:00,39672.71484375,39701.99609375,39233.5390625,39530.35546875,39530.35546875,0
2022-04-24 17:00:00+00:00,39531.0625,39531.0625,39277.08203125,39417.8203125,39417.8203125,838674432
2022-04-24 18:00:00+00:00,39416.6875,39643.6484375,39416.6875,39643.6484375,39643.6484375,334026752
2022-04-24 19:00:00+00:00,39653.2890625,39740.85546875,39653.2890625,39696.29296875,39696.29296875,269903872
2022-04-24 20:00:00+00:00,39695.87109375,39717.0078125,39511.1328125,39511.1328125,39511.1328125,167520256
2022-04-24 21:00:00+00:00,39513.76953125,39618.1796875,39494.84765625,39618.1796875,39618.1796875,152219648
2022-04-24 22:00:00+00:00,39620.65625,39738.0,39569.3125,39580.3671875,39580.3671875,248281088
2022-04-24 23:00:00+00:00,39579.12890625,39581.21484375,39467.16796875,39467.16796875,39467.16796875,0
2022-04-25 00:00:00+00:00,39472.60546875,39487.9765625,38919.62109375,38919.62109375,38919.62109375,1277106176
2022-04-25 01:00:00+00:00,38908.23828125,39084.8046875,38812.45703125,39070.31640625,39070.31640625,5042493440
2022-04-25 02:00:00+00:00,39083.8125,39115.91796875,39014.625,39070.125,39070.125,1871507456
2022-04-25 03:00:00+00:00,39078.796875,39251.85546875,39078.796875,39245.734375,39245.734375,258422784
2022-04-25 04:00:00+00:00,39245.8671875,39252.4296875,39131.1328125,39166.953125,39166.953125,193044480
2022-04-25 05:00:00+00:00,39165.19140625,39220.57421875,39011.08203125,39025.62890625,39025.62890625,209514496
2022-04-25 06:00:00+00:00,39020.67578125,39036.2578125,38740.3515625,38740.3515625,38740.3515625,767297536
2022-04-25 07:00:00+00:00,38719.7421875,38719.7421875,38409.765625,38484.3984375,38484.3984375,1893232640
2022-04-25 08:00:00+00:00,38482.9609375,38557.984375,38435.84765625,38440.69140625,38440.69140625,0
2022-04-25 09:00:00+00:00,38439.16796875,38609.07421875,38338.37890625,38591.30859375,38591.30859375,933392384
2022-04-25 10:00:00+00:00,38594.9296875,38628.55859375,38500.09765625,38503.0,38503.0,389720064
2022-04-25 11:00:00+00:00,38496.22265625,38855.125,38408.8046875,38816.15625,38816.15625,1460475904
2022-04-25 12:00:00+00:00,38824.265625,38955.8046875,38780.75390625,38833.77734375,38833.77734375,790874112
2022-04-25 13:00:00+00:00,38834.87890625,39139.609375,38708.49609375,38846.1875,38846.1875,1476823040
2022-04-25 14:00:00+00:00,38831.6015625,39325.08203125,38743.21875,39102.74609375,39102.74609375,1774161920
2022-04-25 15:00:00+00:00,39089.3671875,39270.1953125,38992.00390625,39018.48046875,39018.48046875,1062893568
2022-04-25 16:00:00+00:00,39014.9296875,39594.21875,38988.5703125,39521.10546875,39521.10546875,0
2022-04-25 17:00:00+00:00,39515.01171875,39544.88671875,39399.90625,39414.2109375,39414.2109375,124841984
2022-04-25 18:00:00+00:00,39414.23046875,40154.86328125,39367.5234375,40078.1484375,40078.1484375,1320480768
2022-04-25 19:00:00+00:00,40053.8359375,40287.58203125,39829.4765625,40232.8828125,40232.8828125,1840726016
